App,Agent Authentication,Manual Verification,Result,Official Documentation,Notes
Salesforce,OAuth2,OAuth2,Correct,https://developer.salesforce.com/docs/apis,REST API uses OAuth2
Slack,OAuth2,"OAuth2 + Bot Token",Partially Correct,https://api.slack.com/authentication,Slack apps also use Bot Tokens
GitHub,OAuth2,"OAuth2 + Personal Access Token",Partially Correct,https://docs.github.com/en/rest/authentication/authenticating-to-the-rest-api,Personal Access Tokens are commonly used
Stripe,API Key,API Key,Correct,https://stripe.com/docs/keys,Secret API Keys authenticate requests
Shopify,OAuth2,OAuth2,Correct,https://shopify.dev/docs/apps/build/authentication-authorization,Standard OAuth flow
Twilio,Basic,"Basic Auth + API Key",Partially Correct,https://www.twilio.com/docs/iam/api,Supports Account SID/Auth Token and API Keys
Notion,OAuth2,"OAuth2 + Internal Integration Token",Partially Correct,https://developers.notion.com/docs/authorization,Internal integrations use bearer tokens
Datadog,API Key,API Key,Correct,https://docs.datadoghq.com/api/latest,Uses API Key and Application Key
Jira,OAuth2,OAuth2,Correct,https://developer.atlassian.com/cloud/jira/platform/rest/v3,OAuth2 supported
Asana,OAuth2,OAuth2,Correct,https://developers.asana.com/docs/oauth,Official OAuth2 flow
Airtable,Bearer Token,Personal Access Token,Partially Correct,https://airtable.com/developers/web/api/authentication,Uses Personal Access Tokens as Bearer Tokens
Discord,Bearer Token,Bot Token,Partially Correct,https://discord.com/developers/docs/topics/oauth2,Bot Tokens are primary for bots
Zendesk,OAuth2,OAuth2,Correct,https://developer.zendesk.com/api-reference/introduction/security-and-auth,OAuth2 officially supported
Google Ads,OAuth2,OAuth2,Correct,https://developers.google.com/google-ads/api/docs/oauth/overview,OAuth2 mandatory
HubSpot,OAuth2,OAuth2,Correct,https://developers.hubspot.com/docs/api/overview,Private Apps and OAuth supported